ShowName,Links,Imdb,Reelgood,Genres,MaturityRating,RunningDate,Seasons,ReturningDate,Service,Country
Attack on Titan,https://reelgood.com/show/attack-on-titan-2013,8.8,92.0,"['Action & Adventure', 'Animation', 'Anime', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Science-Fiction']",Rated: 18+ (TV-MA),2013 - Present,3 Seasons,"Returns: Oct. 7, 2020","['Netflix', 'Hulu', 'Crunchyroll', 'Funimation']",Country: Japan
Black Mirror,https://reelgood.com/show/black-mirror-2011,8.8,92.0,"['Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 18+ (TV-MA),2011 - Present,5 Seasons,Returning: Date TBA,['Netflix'],Country: United Kingdom
Band of Brothers,https://reelgood.com/show/band-of-brothers-2001,9.4,92.0,"['Action & Adventure', 'Drama']",Rated: 18+ (TV-MA),2001 - 2001,1 Season,Series Ended,"['HBO', 'HBO MAX']",Country: United Kingdom ...More CountriesUnited KingdomAmerica
House,https://reelgood.com/show/house-2004,8.7,92.0,"['Comedy', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2004 - 2012,8 Seasons,Series Ended,"['Prime Video', 'Peacock']",Country: America
The Umbrella Academy,https://reelgood.com/show/the-umbrella-academy-2019,8.0,92.0,"['Action & Adventure', 'Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2019 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: America
Money Heist,https://reelgood.com/show/money-heist-2017,8.4,92.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2017 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: Spain
Mr. Robot,https://reelgood.com/show/mr-robot-2015,8.5,92.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),2015 - 2019,4 Seasons,Series Ended,"['Prime Video', 'fuboTV']",Country: America
Peaky Blinders,https://reelgood.com/show/peaky-blinders-2013,8.8,92.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),2013 - Present,5 Seasons,Returning: Date TBA,['Netflix'],Country: United Kingdom
Lucifer,https://reelgood.com/show/lucifer-2016,8.2,91.0,"['Comedy', 'Crime', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2016 - Present,5 Seasons,Returning: Date TBA,['Netflix'],Country: America
The Mandalorian,https://reelgood.com/show/the-mandalorian-2019,8.7,92.0,"['Action & Adventure', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2019 - Present,1 Season,Returning: Date TBA,['Disney+'],Country: America
The Simpsons,https://reelgood.com/show/the-simpsons-1989,8.7,91.0,"['Animation', 'Comedy', 'Family']",Rated: 7+ (TV-PG),1989 - Present,31 Seasons,"Returns: Sep. 28, 2020","['Hulu', 'Disney+', 'fuboTV']",Country: America
